"112年06月29日 外資及陸資買賣超彙總表"
"",,,"外資及陸資(不含外資自營商)",,,"外資自營商",,,"外資及陸資",,,
"","證券代號","證券名稱","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數","買進股數","賣出股數","買賣超股數",
" ","2338  ","光罩            ","605,000","472,000","133,000","0","0","0","605,000","472,000","133,000",
" ","9105  ","泰金寶-DR       ","178,000","50,000","128,000","0","0","0","178,000","50,000","128,000",
" ","1340  ","勝悅-KY         ","153,000","27,044","125,956","0","0","0","153,000","27,044","125,956",
" ","4952  ","凌通            ","285,000","160,000","125,000","0","0","0","285,000","160,000","125,000",
" ","1227  ","佳格            ","258,000","134,000","124,000","0","0","0","258,000","134,000","124,000",
" ","1229  ","聯華            ","751,000","627,000","124,000","0","0","0","751,000","627,000","124,000",
" ","3055  ","蔚華科          ","366,000","242,000","124,000","0","0","0","366,000","242,000","124,000",
" ","5225  ","東科-KY         ","434,000","312,000","122,000","0","0","0","434,000","312,000","122,000",
" ","6689  ","伊雲谷          ","220,000","98,000","122,000","0","0","0","220,000","98,000","122,000",
" ","3004  ","豐達科          ","183,000","62,000","121,000","0","0","0","183,000","62,000","121,000",
" ","2375  ","凱美            ","163,000","43,000","120,000","0","0","0","163,000","43,000","120,000",
" ",="043056","大立光法興2A購01","119,000","0","119,000","0","0","0","119,000","0","119,000",
" ","1519  ","華城            ","1,488,000","1,369,200","118,800","0","0","0","1,488,000","1,369,200","118,800",
" ","1560  ","中砂            ","242,000","125,000","117,000","0","0","0","242,000","125,000","117,000",
" ","1618  ","合機            ","385,000","268,000","117,000","0","0","0","385,000","268,000","117,000",
" ","1718  ","中纖            ","299,000","182,000","117,000","0","0","0","299,000","182,000","117,000",
" ","6691  ","洋基工程        ","472,000","355,000","117,000","0","0","0","472,000","355,000","117,000",
" ","5434  ","崇越            ","234,200","119,000","115,200","0","0","0","234,200","119,000","115,200",
" ","3043  ","科風            ","172,000","58,000","114,000","0","0","0","172,000","58,000","114,000",
" ","9934  ","成霖            ","124,000","11,000","113,000","0","0","0","124,000","11,000","113,000",
" ",="046677","鴻海法興2B購09  ","127,000","15,000","112,000","0","0","0","127,000","15,000","112,000",
" ","3443  ","創意            ","975,100","864,087","111,013","0","0","0","975,100","864,087","111,013",
" ","1711  ","永光            ","1,183,000","1,073,000","110,000","0","0","0","1,183,000","1,073,000","110,000",
" ","1476  ","儒鴻            ","205,000","96,000","109,000","0","0","0","205,000","96,000","109,000",
" ","2390  ","云辰            ","132,000","23,000","109,000","0","0","0","132,000","23,000","109,000",
" ","2845  ","遠東銀          ","1,837,000","1,728,000","109,000","0","0","0","1,837,000","1,728,000","109,000",
" ","6243  ","迅杰            ","1,007,000","899,000","108,000","0","0","0","1,007,000","899,000","108,000",
